Batch ID,Book #,Book,Part,Illustrations,Animal Range,Interior Page Range,Priority,Status,Prompt Pack,Output Folder,Notes
B001,1,Animal Coloring Book for Kids Ages 4-8,1,30,Red Panda -> Chameleon,9-67,HIGH - Book 1 replacement,Queued,B001_Book_01_Part_1_Prompts.txt,artwork/book_01/b001,Replace current Book 1 shortcut-derived art.
B002,1,Animal Coloring Book for Kids Ages 4-8,2,30,Cow -> Mountain Goat,69-127,HIGH - Book 1 replacement,Queued,B002_Book_01_Part_2_Prompts.txt,artwork/book_01/b002,Replace current Book 1 shortcut-derived art.
B003,2,Ocean Animals Coloring Book for Kids Ages 4-8,1,30,Bottlenose Dolphin -> Blue Tang,9-67,HIGH - first release wave,Queued,B003_Book_02_Part_1_Prompts.txt,artwork/book_02/b003,
B004,2,Ocean Animals Coloring Book for Kids Ages 4-8,2,30,Angelfish -> Albatross,69-127,HIGH - first release wave,Queued,B004_Book_02_Part_2_Prompts.txt,artwork/book_02/b004,
B005,3,Farm Animals Coloring Book for Kids Ages 4-8,1,30,Cow -> Water Buffalo,9-67,Normal,Queued,B005_Book_03_Part_1_Prompts.txt,artwork/book_03/b005,
B006,3,Farm Animals Coloring Book for Kids Ages 4-8,2,30,Guinea Fowl -> Barn Swallow,69-127,Normal,Queued,B006_Book_03_Part_2_Prompts.txt,artwork/book_03/b006,
B007,4,Jungle Animals Coloring Book for Kids Ages 4-8,1,30,Tiger -> Poison Dart Frog,9-67,Normal,Queued,B007_Book_04_Part_1_Prompts.txt,artwork/book_04/b007,
B008,4,Jungle Animals Coloring Book for Kids Ages 4-8,2,30,Red-Eyed Tree Frog -> Leaf-Tailed Gecko,69-127,Normal,Queued,B008_Book_04_Part_2_Prompts.txt,artwork/book_04/b008,
B009,5,Safari Animals Coloring Book for Kids Ages 4-8,1,30,Lion -> Nile Crocodile,9-67,Normal,Queued,B009_Book_05_Part_1_Prompts.txt,artwork/book_05/b009,
B010,5,Safari Animals Coloring Book for Kids Ages 4-8,2,30,Monitor Lizard -> Masai Giraffe,69-127,Normal,Queued,B010_Book_05_Part_2_Prompts.txt,artwork/book_05/b010,
B011,6,Forest Animals Coloring Book for Kids Ages 4-8,1,30,White-Tailed Deer -> Bald Eagle,9-67,Normal,Queued,B011_Book_06_Part_1_Prompts.txt,artwork/book_06/b011,
B012,6,Forest Animals Coloring Book for Kids Ages 4-8,2,30,Crow -> Fire Salamander,69-127,Normal,Queued,B012_Book_06_Part_2_Prompts.txt,artwork/book_06/b012,
B013,7,Arctic Animals Coloring Book for Kids Ages 4-8,1,30,Polar Bear -> Minke Whale,9-67,Normal,Queued,B013_Book_07_Part_1_Prompts.txt,artwork/book_07/b013,
B014,7,Arctic Animals Coloring Book for Kids Ages 4-8,2,30,Greenland Shark -> Antarctic Midge,69-127,Normal,Queued,B014_Book_07_Part_2_Prompts.txt,artwork/book_07/b014,
B015,8,Pets Coloring Book for Kids Ages 4-8,1,30,Golden Retriever -> Gerbil,9-67,HIGH - first release wave,Queued,B015_Book_08_Part_1_Prompts.txt,artwork/book_08/b015,
B016,8,Pets Coloring Book for Kids Ages 4-8,2,30,Chinchilla -> African Dwarf Frog,69-127,HIGH - first release wave,Queued,B016_Book_08_Part_2_Prompts.txt,artwork/book_08/b016,
B017,9,Dinosaur Coloring Book for Kids Ages 4-8,1,30,Tyrannosaurus rex -> Euoplocephalus,9-67,HIGH - first release wave,Queued,B017_Book_09_Part_1_Prompts.txt,artwork/book_09/b017,
B018,9,Dinosaur Coloring Book for Kids Ages 4-8,2,30,Argentinosaurus -> Terror Bird,69-127,HIGH - first release wave,Queued,B018_Book_09_Part_2_Prompts.txt,artwork/book_09/b018,
B019,10,Birds Coloring Book for Kids Ages 4-8,1,30,Bald Eagle -> Mourning Dove,9-67,Normal,Queued,B019_Book_10_Part_1_Prompts.txt,artwork/book_10/b019,
B020,10,Birds Coloring Book for Kids Ages 4-8,2,30,Herring Gull -> Common Loon,69-127,Normal,Queued,B020_Book_10_Part_2_Prompts.txt,artwork/book_10/b020,
B021,11,Bugs & Butterflies Coloring Book for Kids Ages 4-8,1,30,Monarch Butterfly -> Black Garden Ant,9-67,Normal,Queued,B021_Book_11_Part_1_Prompts.txt,artwork/book_11/b021,
B022,11,Bugs & Butterflies Coloring Book for Kids Ages 4-8,2,30,Leafcutter Ant -> Millipede,69-127,Normal,Queued,B022_Book_11_Part_2_Prompts.txt,artwork/book_11/b022,
B023,12,Reptiles & Amphibians Coloring Book for Kids Ages 4-8,1,30,Green Iguana -> American Alligator,9-67,Normal,Queued,B023_Book_12_Part_1_Prompts.txt,artwork/book_12/b023,
B024,12,Reptiles & Amphibians Coloring Book for Kids Ages 4-8,2,30,Gharial -> Hellbender,69-127,Normal,Queued,B024_Book_12_Part_2_Prompts.txt,artwork/book_12/b024,
B025,13,Dogs Coloring Book for Kids Ages 4-8,1,30,Golden Retriever -> Newfoundland,9-67,HIGH - first release wave,Queued,B025_Book_13_Part_1_Prompts.txt,artwork/book_13/b025,
B026,13,Dogs Coloring Book for Kids Ages 4-8,2,30,Saint Bernard -> Basenji,69-127,HIGH - first release wave,Queued,B026_Book_13_Part_2_Prompts.txt,artwork/book_13/b026,
B027,14,Cats Coloring Book for Kids Ages 4-8,1,30,Maine Coon -> Ocicat,9-67,HIGH - first release wave,Queued,B027_Book_14_Part_1_Prompts.txt,artwork/book_14/b027,
B028,14,Cats Coloring Book for Kids Ages 4-8,2,30,Oriental Shorthair -> Domestic Longhair,69-127,HIGH - first release wave,Queued,B028_Book_14_Part_2_Prompts.txt,artwork/book_14/b028,
B029,15,Horses Coloring Book for Kids Ages 4-8,1,30,Arabian -> New Forest Pony,9-67,Normal,Queued,B029_Book_15_Part_1_Prompts.txt,artwork/book_15/b029,
B030,15,Horses Coloring Book for Kids Ages 4-8,2,30,Pony of the Americas -> Comtois,69-127,Normal,Queued,B030_Book_15_Part_2_Prompts.txt,artwork/book_15/b030,
B031,16,Baby Animals Coloring Book for Kids Ages 4-8,1,30,Lion Cub -> Rabbit Kit,9-67,Normal,Queued,B031_Book_16_Part_1_Prompts.txt,artwork/book_16/b031,
B032,16,Baby Animals Coloring Book for Kids Ages 4-8,2,30,Kitten -> Seahorse Fry,69-127,Normal,Queued,B032_Book_16_Part_2_Prompts.txt,artwork/book_16/b032,
B033,17,Zoo Animals Coloring Book for Kids Ages 4-8,1,30,African Lion -> Armadillo,9-67,Normal,Queued,B033_Book_17_Part_1_Prompts.txt,artwork/book_17/b033,
B034,17,Zoo Animals Coloring Book for Kids Ages 4-8,2,30,Kangaroo -> Black-and-White Ruffed Lemur,69-127,Normal,Queued,B034_Book_17_Part_2_Prompts.txt,artwork/book_17/b034,
B035,18,Australian Animals Coloring Book for Kids Ages 4-8,1,30,Red Kangaroo -> Sulphur-Crested Cockatoo,9-67,Normal,Queued,B035_Book_18_Part_1_Prompts.txt,artwork/book_18/b035,
B036,18,Australian Animals Coloring Book for Kids Ages 4-8,2,30,Galah -> Queensland Grouper,69-127,Normal,Queued,B036_Book_18_Part_2_Prompts.txt,artwork/book_18/b036,
B037,19,Nocturnal Animals Coloring Book for Kids Ages 4-8,1,30,Barn Owl -> Nine-Banded Armadillo,9-67,Normal,Queued,B037_Book_19_Part_1_Prompts.txt,artwork/book_19/b037,
