book,title,subtitle,theme,launch_wave,status
1,Things That Go Coloring Book for Kids Ages 4–8,60 Bold & Easy Vehicles with Fun Facts,Mixed vehicles,1,Planned
2,Cars Coloring Book for Kids Ages 4–8,60 Bold & Easy Cars with Fun Facts,Cars,1,Planned
3,Trucks Coloring Book for Kids Ages 4–8,60 Bold & Easy Trucks with Fun Facts,Trucks,1,Planned
4,Construction Vehicles Coloring Book for Kids Ages 4–8,60 Bold & Easy Machines with Fun Facts,Construction vehicles,1,Planned
5,Trains Coloring Book for Kids Ages 4–8,60 Bold & Easy Trains with Fun Facts,Trains,1,Planned
6,Airplanes Coloring Book for Kids Ages 4–8,60 Bold & Easy Aircraft with Fun Facts,Aircraft,1,Planned
7,Boats & Ships Coloring Book for Kids Ages 4–8,60 Bold & Easy Watercraft with Fun Facts,Watercraft,2,Planned
8,Emergency Vehicles Coloring Book for Kids Ages 4–8,60 Bold & Easy Rescue Vehicles with Fun Facts,Emergency vehicles,1,Planned
9,Farm Vehicles Coloring Book for Kids Ages 4–8,60 Bold & Easy Tractors & Machines with Fun Facts,Farm vehicles,1,Planned
10,Monster Trucks Coloring Book for Kids Ages 4–8,60 Bold & Easy Monster Trucks for Creative Fun,Monster trucks,2,Planned
11,Race Cars Coloring Book for Kids Ages 4–8,60 Bold & Easy Racing Vehicles with Fun Facts,Race cars,2,Planned
12,Motorcycles Coloring Book for Kids Ages 4–8,60 Bold & Easy Motorcycles with Fun Facts,Motorcycles,2,Planned
13,City Vehicles Coloring Book for Kids Ages 4–8,60 Bold & Easy Buses Taxis & More with Fun Facts,City vehicles,2,Planned
14,Heavy Equipment Coloring Book for Kids Ages 4–8,60 Bold & Easy Big Machines with Fun Facts,Heavy equipment,2,Planned
15,Fire Trucks Coloring Book for Kids Ages 4–8,60 Bold & Easy Fire & Rescue Vehicles with Fun Facts,Fire trucks,2,Planned
16,Police Vehicles Coloring Book for Kids Ages 4–8,60 Bold & Easy Patrol & Service Vehicles with Fun Facts,Police vehicles,3,Planned
17,Garbage Trucks & Work Vehicles Coloring Book for Kids Ages 4–8,60 Bold & Easy Community Vehicles with Fun Facts,Community work vehicles,3,Planned
18,Space Vehicles Coloring Book for Kids Ages 4–8,60 Bold & Easy Rockets Rovers & Spacecraft with Fun Facts,Space vehicles,3,Planned
19,Snow Vehicles Coloring Book for Kids Ages 4–8,60 Bold & Easy Winter Machines with Fun Facts,Snow vehicles,3,Planned
20,Off-Road Vehicles Coloring Book for Kids Ages 4–8,60 Bold & Easy 4x4s ATVs & More with Fun Facts,Off-road vehicles,3,Planned
