book,title,status,next_gate,batches,notes
1,Animal Coloring Book for Kids Ages 4-8,KDP Review,Wait for paperback and hardcover review,B001-B002,Frozen until KDP review resolves; no active revision work
2,Ocean Animals Coloring Book for Kids Ages 4-8,Blocked on Original Art,Approve 60 original illustrations,B003-B004,Primary next release target
3,Farm Animals Coloring Book for Kids Ages 4-8,Production Staged,Approve 60 original illustrations,B005-B006,
4,Jungle Animals Coloring Book for Kids Ages 4-8,Production Staged,Approve 60 original illustrations,B007-B008,
5,Safari Animals Coloring Book for Kids Ages 4-8,Production Staged,Approve 60 original illustrations,B009-B010,
6,Forest Animals Coloring Book for Kids Ages 4-8,Production Staged,Approve 60 original illustrations,B011-B012,
7,Arctic Animals Coloring Book for Kids Ages 4-8,Production Staged,Approve 60 original illustrations,B013-B014,
8,Pets Coloring Book for Kids Ages 4-8,Production Staged,Approve 60 original illustrations,B015-B016,First release wave
9,Dinosaur Coloring Book for Kids Ages 4-8,Production Staged,Approve 60 original illustrations,B017-B018,First release wave
10,Birds Coloring Book for Kids Ages 4-8,Production Staged,Approve 60 original illustrations,B019-B020,
11,Bugs & Butterflies Coloring Book for Kids Ages 4-8,Production Staged,Approve 60 original illustrations,B021-B022,
12,Reptiles & Amphibians Coloring Book for Kids Ages 4-8,Production Staged,Approve 60 original illustrations,B023-B024,
13,Dogs Coloring Book for Kids Ages 4-8,Production Staged,Approve 60 original illustrations,B025-B026,First release wave
14,Cats Coloring Book for Kids Ages 4-8,Production Staged,Approve 60 original illustrations,B027-B028,First release wave
15,Horses Coloring Book for Kids Ages 4-8,Production Staged,Approve 60 original illustrations,B029-B030,
16,Baby Animals Coloring Book for Kids Ages 4-8,Production Staged,Approve 60 original illustrations,B031-B032,
17,Zoo Animals Coloring Book for Kids Ages 4-8,Production Staged,Approve 60 original illustrations,B033-B034,
18,Australian Animals Coloring Book for Kids Ages 4-8,Production Staged,Approve 60 original illustrations,B035-B036,
19,Nocturnal Animals Coloring Book for Kids Ages 4-8,Production Staged,Approve 60 original illustrations,B037-B038,
20,Endangered Animals Coloring Book for Kids Ages 4-8,Production Staged,Approve 60 original illustrations,B039-B040,Conservation and taxonomy source review completed
21,North American Animals Coloring Book for Kids Ages 4-8,Production Staged,Approve 60 original illustrations,B041-B042,
22,Backyard Animals Coloring Book for Kids Ages 4-8,Production Staged,Approve 60 original illustrations,B043-B044,
23,Desert Animals Coloring Book for Kids Ages 4-8,Production Staged,Approve 60 original illustrations,B045-B046,
24,River & Wetland Animals Coloring Book for Kids Ages 4-8,Production Staged,Approve 60 original illustrations,B047-B048,Catalog naming cleanup complete
25,Mountain Animals Coloring Book for Kids Ages 4-8,Production Staged,Approve 60 original illustrations,B049-B050,
26,Cute Animals Coloring Book for Kids Ages 4-8,Production Staged,Approve 60 original illustrations,B051-B052,Catalog naming cleanup complete
27,Rainforest Birds Coloring Book for Kids Ages 4-8,Production Staged,Approve 60 original illustrations,B053-B054,Catalog naming cleanup complete
28,Sharks & Rays Coloring Book for Kids Ages 4-8,Production Staged,Approve 60 original illustrations,B055-B056,Catalog naming cleanup complete
29,Animal Families Coloring Book for Kids Ages 4-8,Production Staged,Approve 60 original illustrations,B057-B058,
30,Animal Homes & Habitats Coloring Book for Kids Ages 4-8,Production Staged,Approve 60 original illustrations,B059-B060,
